country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,264M,82M,330M,98M,631M,488M,213M,376M,107M,305M,304M,588M,695M,246M,418M,922M,1.31B,1B,1.29B,740M,675M,968M,462M,401M,366M,189M,202M,36M,525M,1.22B,903M,484M,2.13B,898M,1.22B,871M,380M,807M,1.72B,842M,708M,788M,403M,2.17B,1.11B,411M,721M,1.7B,483M,1.22B,630M,70M,18M,28M,204M,749M,323M,51M,38M,93M,85M
Grenada,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,16M,,1M,7M,8M,5M,,1M,16M,1M,,46M,1M,0,15M,47M,15M,1M,1M,5M,8M,48M,16M,1M,7M,25M,2M,0,0,4M,0,0,,13M,4M,4M,2M,,1M,,,,,,,,,,0,,,,2M,,,33M,,,4M,14M,
Guyana,,,,,,,,,0,,,2M,,,2M,0,15M,5M,1M,5M,4M,14M,,3M,7M,23M,,,,,,,,,,,,,,,,7M,2M,,,,,,0,,,,,,,,,,0,2M,
Honduras,,,14M,,,1M,6M,,,19M,,,,2M,,31M,30M,25M,29M,9M,13M,27M,30M,33M,25M,36M,76M,13M,44M,17M,,,,,,,,,,,,,,,,,,,0,,,0,0,20M,13M,8M,,10M,1M,23M,0
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,27M,27M,53M,1M,15M,35M,,,,57M,2M,24M,8M,,,19M,99M,4M,11M,19M,19M,,27M,11M,20M,13M,2M,5M,
Haiti,6M,,,,1M,,,,,8M,,,,3M,4M,1M,1M,0,9M,,,3M,4M,3M,,10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,599M,575M,292M,379M,747M,667M,150M,290M,271M,447M,22M,237M,121M,393M,554M,495M,378M,394M,586M,485M,384M,143M,142M,117M,251M,229M,79M,80M,35M,59M,14M,22M,,935M,2M,1M,156M,99M,46M,72M,14M,14M,,,72M,13M,253M,196M,5M,4M,18M,9M,,2M,7M,,14M,6M,27M,16M,67M
Indonesia,441M,895M,1.07B,180M,518M,330M,16M,1M,0,9M,27M,92M,5M,73M,73M,4M,156M,60M,126M,376M,910M,796M,360M,228M,100M,289M,432M,264M,291M,248M,202M,11M,52M,214M,471M,285M,379M,105M,88M,164M,150M,26M,68M,358M,79M,37M,65M,580M,243M,442M,225M,249M,212M,801M,1.18B,438M,377M,1.17B,329M,217M,270M
India,544M,1.12B,371M,647M,920M,1.05B,994M,1.26B,1.66B,1.52B,872M,1.87B,1.81B,1.32B,1.28B,1.09B,1.92B,2.37B,1.18B,1.18B,1.75B,2.11B,2.26B,2.64B,2.77B,2.98B,4.13B,3.83B,3.76B,3.58B,2.72B,1.88B,1.19B,737M,884M,1.48B,844M,1.67B,753M,1.21B,983M,1.19B,2.02B,2.74B,2.21B,1.2B,1.48B,2.27B,1.86B,1.86B,2.91B,3.6B,4.39B,5.38B,3.35B,3.12B,3B,2.91B,1.49B,3.08B,2.8B
