Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,6.876000,7.020000,6.822000,6.997000,4.664689,68171257
2019-09-30,6.977000,7.048000,6.684000,6.809000,4.539355,86808804
2019-10-07,6.778000,7.039000,6.736000,7.039000,4.692689,112052323
2019-10-14,6.999000,7.147000,6.940000,7.068000,4.712022,73533690
2019-10-21,7.079000,7.260000,7.042000,7.153000,4.768690,60359922
2019-10-28,7.133000,7.171000,6.823000,6.914000,4.609356,55954629
2019-11-04,6.926000,7.088000,6.731000,6.856000,4.570688,98265076
2019-11-11,6.900000,6.981000,6.680000,6.759000,4.506021,95555474
2019-11-18,6.777000,6.798000,6.627000,6.765000,4.510022,62752901
2019-11-25,6.780000,6.992000,6.671000,6.952000,4.634689,63598240
2019-12-02,7.000000,7.010000,6.690000,6.868000,4.578689,467071502
2019-12-09,6.863000,6.866000,6.656000,6.726000,4.484021,102924522
2019-12-16,6.788000,6.858000,6.435000,6.533000,4.355354,646487155
2019-12-23,6.500000,6.520000,6.314000,6.414000,4.404603,74568800
2019-12-30,6.376000,6.424000,6.200000,6.337000,4.351726,65451553
2020-01-06,6.307000,6.379000,6.133000,6.179000,4.243225,62999466
2020-01-13,6.182000,6.185000,5.980000,6.150000,4.223310,100912169
2020-01-20,6.206000,6.390000,6.105000,6.118000,4.201335,123375300
2020-01-27,6.070000,6.295000,6.026000,6.109000,4.195155,68868079
2020-02-03,6.150000,6.251000,6.080000,6.216000,4.268633,58567087
2020-02-10,6.200000,6.330000,6.161000,6.247000,4.289922,83554312
2020-02-17,6.276000,6.570000,6.083000,6.110000,4.195842,125125553
2020-02-24,6.000000,6.106000,5.285000,5.360000,3.680804,168115753
2020-03-02,5.480000,5.486000,5.023000,5.093000,3.497450,148583314
2020-03-09,4.778500,4.915500,3.724000,3.883500,2.666866,226111686
2020-03-16,3.872000,4.850000,3.533000,4.391500,3.015718,210060516
2020-03-23,4.261000,4.640000,4.046500,4.129000,2.835455,137755214
2020-03-30,4.080000,4.198000,3.872000,4.045000,2.777771,96774544
2020-04-06,4.160000,4.510000,4.122000,4.324000,2.969364,62286988
2020-04-13,4.324000,4.478000,4.060000,4.109000,2.821720,89101098
2020-04-20,4.198000,4.198000,3.916000,3.973000,2.728327,70473887
2020-04-27,4.076000,4.237000,4.000000,4.180000,2.870477,54339976
2020-05-04,4.250000,4.470000,4.175000,4.215000,2.894512,105007464
2020-05-11,4.265000,4.355000,4.111000,4.195000,2.880778,77892820
2020-05-18,4.258000,4.378000,3.761000,4.100000,2.815540,178648870
2020-05-25,4.131000,4.366000,4.028000,4.241000,2.912367,198696001
2020-06-01,4.348000,4.922000,4.311000,4.866000,3.341566,144254442
2020-06-08,4.800000,5.012000,4.461000,4.542000,3.119069,167026194
2020-06-15,4.482000,4.854000,4.332000,4.420000,3.035289,204980153
2020-06-22,4.411000,4.413000,4.145000,4.212000,3.015305,97559881
2020-06-29,4.212000,4.352000,4.130000,4.151000,2.971636,151103691
2020-07-06,4.240000,4.331000,3.903000,3.999000,2.862822,97821721
2020-07-13,4.057000,4.197000,3.970000,4.134000,2.959466,94521500
2020-07-20,4.115000,4.215000,3.866000,3.866000,2.767609,67603691
2020-07-27,3.868000,3.868000,3.548000,3.548000,2.539958,113617935
2020-08-03,3.550000,3.758000,3.404000,3.471000,2.484835,94586477
2020-08-10,3.516000,3.730000,3.449000,3.631000,2.599376,84131632
2020-08-17,3.611000,3.634000,3.473000,3.482000,2.492710,85373751
